date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:38	88660/88660	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2004:11:05%20GMT	https://templates.hibootstrap.com/fafo/default/index.html	C:/My%20Web%20Sites/Restaurant%202/web/index.html	(from )
19:32:38	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202024%2017:32:38%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
19:32:38	4030/4030	---M--	200	added ('OK')	image/png	etag:%22663af7d4-24dd%22	https://templates.hibootstrap.com/fafo/default/assets/images/tab.png	C:/My%20Web%20Sites/Restaurant%202/web/images/tab.png	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:39	232756/232756	---MCZ	200	added ('OK')	text/css	etag:W/%22663afbd6-38d34%22	https://templates.hibootstrap.com/fafo/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/bootstrap.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:39	564/564	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202024%2017:32:39%20GMT	https://templates.hibootstrap.com/fafo/default/assets/css/bootstrap-reboot.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/bootstrap-reboot.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:39	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-11846%22	https://templates.hibootstrap.com/fafo/default/assets/css/animate.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/animate.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:39	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-d17%22	https://templates.hibootstrap.com/fafo/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/owl.carousel.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:39	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-3f5%22	https://templates.hibootstrap.com/fafo/default/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/owl.theme.default.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:40	1318/1318	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-528%22	https://templates.hibootstrap.com/fafo/default/assets/css/slick.css	C:/My%20Web%20Sites/Restaurant%202/web/images/slick.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:40	2367/2367	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-951%22	https://templates.hibootstrap.com/fafo/default/assets/css/slick-theme.css	C:/My%20Web%20Sites/Restaurant%202/web/images/slick-theme.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:40	31364/31364	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-7ae5%22	https://templates.hibootstrap.com/fafo/default/assets/css/jquery-ui.css	C:/My%20Web%20Sites/Restaurant%202/web/images/jquery-ui.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:40	1025/1025	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-401%22	https://templates.hibootstrap.com/fafo/default/assets/css/jquery.timepicker.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/jquery.timepicker.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:40	7224/7224	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-1c38%22	https://templates.hibootstrap.com/fafo/default/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/meanmenu.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:41	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-148b%22	https://templates.hibootstrap.com/fafo/default/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/magnific-popup.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:41	92615/92615	---MCZ	200	added ('OK')	text/css	etag:W/%22663b01c3-169c7%22	https://templates.hibootstrap.com/fafo/default/assets/css/icofont.min.css	C:/My%20Web%20Sites/Restaurant%202/web/images/icofont.min.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:41	4114/4114	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-12b6%22	https://templates.hibootstrap.com/fafo/default/assets/css/flaticon.css	C:/My%20Web%20Sites/Restaurant%202/web/images/flaticon.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:41	29698/29698	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-756c%22	https://templates.hibootstrap.com/fafo/default/assets/css/settings.css	C:/My%20Web%20Sites/Restaurant%202/web/images/settings.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:42	106003/106003	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-1a593%22	https://templates.hibootstrap.com/fafo/default/assets/css/layers.css	C:/My%20Web%20Sites/Restaurant%202/web/images/layers.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:42	43047/43047	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-a953%22	https://templates.hibootstrap.com/fafo/default/assets/css/navigation.css	C:/My%20Web%20Sites/Restaurant%202/web/images/navigation.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:42	143802/143802	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-2bbec%22	https://templates.hibootstrap.com/fafo/default/assets/css/style.css	C:/My%20Web%20Sites/Restaurant%202/web/images/style.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
19:32:42	29269/29269	---MCZ	200	added ('OK')	text/css	etag:W/%22663af7d4-993e%22	https://templates.hibootstrap.com/fafo/default/assets/css/responsive.css	C:/My%20Web%20Sites/Restaurant%202/web/images/responsive.css	(from https://templates.hibootstrap.com/fafo/default/index.html)
